Text,Toxic/Not Toxic
@DimaSadek ان شاء الله بيقبرك وبنرتاح منك. اذا السيد خيفان هههه. من اسرائيل  ما خفنا منا بدك نخاف منكون يا صعاليك.… https://t.co/vNatwW6bEH,1
@yumnafawaz إنت وحدة بلا أخلاق وبلا أدب.عم تتمسخري على رئيس الجمهورية. عندو ولاد قد بييك وإمك. تقبلي حدن يتمسخر على… https://t.co/Ibl58ekr8L,1
@DimaSadek انا ضد الاسفاف والتناول الشخصي وضد فائض القوه وعدم سماع مطالب الناس.ووجعها والرد على الغضب بالعنف والقوه وصم الاذان ِ,0
نانسي السبع من ساحة رياض الصلح: اشكال يحصل الآن علماً انه لم يأتِ احد على ذكر الامين العام لحزب الله وهناك كلام على ان هذا الامر مُحضَّر.,0
@DimaSadek ولي الله يلعن لي قال لأمك مبارك ما اجاكي��‍♀️��‍♀️,1
@berrynawal ما ابشعك,1
@yumnafawaz @yumnafawaz  انتبهي فقد عاد المسعورين,0
"@loulouttew17 @Jessicaazar
ما خصنا هول رفقاتك �",0
@yumnafawaz @liliandaoud مناطق غالبيه مسلمه ليست شيعيه ولا دين آخر ! فلم يسمحوا لهم بالتعبير عن رأيهم؟,0
"@yumnafawaz ما اذكاكي!!!!!!! اووووووف بتعرفي بالمونتاج!!!! واااااو شو خل الثقافي!!!!!! مش شعر بدنا!!!.
طيب خلص يلا رجعي على الخسة.",1
@DimaSadek خلص ما تزعلي انتِ ايقونة الثورة�,0
@RoroHMostafa1 @ahmadja21216444 @DimaSadek خلينالك لهضامي إلك ولثورة,0
@DimaSadek لا تكون طريق امك ومش عارفين ابديش زفر,0
@MwsAmal @yumnafawaz يبعتلك قص لسانك بلا اخلاق,1
@DimaSadek اللهم انصر الشعب اللبناني ؤالله يحي اللبنان العطيم***,0
@DimaSadek @josephinedeeb @AkikiJoyce يا بلا أخلاق العونيين دافعوا عنّا الإعتداء من شخص واحد بس انت بلا ضمير بتعممي ��,1
"@DimaSadek انتي سخيفة وحاقدة وكتلة من العقد
ربما لانؤيد سكوت النائب حسن في هذا الموضوع ولكن الى الان لم تأتي على سيرة احد من الفاسدين",1
"@jf_8o @DimaSadek انتقدته فقاموا عليها
يقولون هو ليس مشارك مع الاحزاب اللي ضيعت البلد بالوقت اللي هو اصل البلا كله",0
@DimaSadek صباطو اشرف منك ���,1
"@DimaSadek عقبال ما يتعبط فيكي قد هيدا على مية مرة و يجعلكك و ما تعرفي راسك من كعب إجريكي
#ديما_الواطية",1
@Linalina961 @DimaSadek السيد حسن نصرالله يا حقيرة,1
"@lamatweetsback @dimasadekwateye @DimaSadek و انتي وقحة و وحقيرة و بتسوي صرماية لو مش عارفة هيدا زوجها للواطية
فكرتك عالم طلعتي طرطورة",1
@DimaSadek انشالله بيقبر قلبك قريبا,1
"@joey_gs__ @DimaSadek ما خص امها ، نحنا الشعب المحترم مش متلها 
هيي كل شي ممنوع بس عالتيار وحزب الله مسموح ومكتر 
فشرت نكون متلها��‍♀️",0
@DimaSadek صحيح انك #ديما_الواطية,1
@DimaSadek @AhmadBallout15 الله يلعنك بلا شرف,1
@NicoleHajal @LbciLebanon @DimaSadek الله يرحم البطن يلي حملك,0
"@berrynawal سلامة قلبك 
كللن يعني كللن و انتِ اشرف منن...
مبارح @AkikiJoyce  و اليوم انتِ لأنكن اقوى من ايا شي❤… https://t.co/5x3sWBCon6",0
"@DimaSadek حدا يبهدلها عني أنا اكتفيت .. حأستفرغ من وجودي على صفحتها 
#ديما_الواطية",1
@m_altahan @NadimKoteich @DimaSadek كتير منيح، صارو يعرفو الناس القوادم ليش في ناس عمتسب فيها للآدمية... فعلا أذكياء... ���,0
@DimaSadek معليه روحي عند يلي بيشبهوكي مين مانعك ، اسرائيل و امريكا فاتحة احضانها لامثالك روحي لعندهم ، و اذا بدك ب… https://t.co/MJWQZZzr8Q,0
@DimaSadek انزلي انت والكلب جوزك والكلاب الصغار اللي عندك بالبيت حاج تضحي بولاد العالم #ديما_الواطية,1
@berrynawal طبشوكي الصباط على عينك بتعرفي ليشششش؟؟؟؟ عشان شفتي النمرة ��,1
@timakanso @alexi_naser @DimaSadek الفيديو صحيح، وكتير غلط اللي انعمل، ديما ما صدقت شافت شي وصارت متل النور ع الكبة,0
"@DimaSadek انت قدن كلن واشرف واصدق منهم.
ديما كلنا منحبك .",0
@DimaSadek وانت تركي السفارات,0
@DimaSadek رح تموتي قد مافي جواتك سم,1
@Jessicaazar بشكر الله إلي جيلي ما كان واعي ع هيك فخامة.,0
"@DimaSadek نصرالله تاج راسنا والشمس طالعة رالناس قاشعة مين هو الفاسد مش ناطر وحدة فاسدة ومرتزقة مثلك تنعتوا بالفساد
 وحدة غبية روحي انضبي",1
@DimaSadek السيد اشرف رجل في العالم كلو اما الباقيين ماخصني فيهم شيلو السيد من هالمعادلة,0
@GJKLMN557 @KaramRachel @DimaSadek كلك زوق,0
"@Rana40752360 @khalil_f8585 @PinkAsteroyd @DimaSadek #ديما_الوضيعة
#ديما_الساروت 
#ديما_الكذابة",1
@DimaSadek الساعات الاخيرة لامثاليك ... ولله ليوصل عواكي لقبرص,1
@DimaSadek صديقت الفاسدين,1
"@sayegh_georges @DimaSadek ديما شعرها حلو 
���",0
"RT @MaharatNews: النساء اللبنانيات في الساحات الامامية فعلا، وأقل في الساحات الافتراضية
للاطلاع على المزيد من الاحصائيات https://t.co/L6w8B…",0
@berrynawal خلص سكتي بلا هبل,1
@DimaSadek يبدو أن الجوع سيطر عليك الصحيفة وليس الصفيحة,0
@yumnafawaz يا م نص لسان حاجي تبثي الفتن,1
"@DimaSadek روحي انضبي يا كركمي
تفو عليكي و على اخلاقك",1
@yumnafawaz ايه اكيد بدو يحكي عن النازحين لان هيدي وحدي من المشاكل. بشرفك قليلي قديش دفعينلك لتحكي هل حكي و و حياااة الله ما بخبر حداا�,0
@yumnafawaz ما ابشعك وما اسخفك,1
@yumnafawaz @Alii_Wehbi يا مشحر شو بهايم ولي هول يا هبلة مخابرات جيش هيدي بقلب السرايا مصورينة لقوي تسوقولا لهل فتنة خافو الله,1
"RT @yumnafawaz: بشرفكن شباب فينا نوقف مسبات المتعلقة بالنساء والأمهات! يعني قي الف مسبة تانية!
#لبنان_ينتفض https://t.co/RYyn85nHql",0
@berrynawal @NadimKoteich  افهم يا بلا فهم,0
"نحنا معك لانك صوت حر و بتمثلينا
ديما صادق انسانة حرة وبتقول كلمة الحق تزعل زعران السلطة الحاكمة 
#كلنا_ديما_صادق   @DimaSadek",0
@DimaSadek انت حثالة من بلادي �,1
@miriam_shahine @DimaSadek عادي ولو خليها عم تعوي  �,1
@yumnafawaz حبيبتي # مبارح جنيت وانا عم بحضرك الله يحميكي شكرا.,0
"@DimaSadek إذا أردت اكتشاف عقل شخص .. فـ أنظر إليه كيف يحاور من يخالفه الرأي .

 #برنارد_شو

#كلنا_ديما_صادق",0
@DimaSadek أي حكومة وأي شعب... سماحة السيد اسمو يا محترمة...,0
@DimaSadek انسانة تافهة ولطالما كنت بوق للفتن,1
"RT @SawsanSawma: @DimaSadek المجد لاقفال تمك�

#بالشمع_الحمر",1
RT @ShabakjiZeinab: @DimaSadek اجر السيد حسن اشرف من راسك.. والحزب بطولو وعرضو مش حيبعت حمودي وعلوشي ليمدحوا السيد بس اذا بدك ببعتلك انا شب…,1
@NicoleHajal ايه خلي الشباب الطيبة المهذبة المشاغبة يفتحلون الطرقات وإلا رح يضطروا يعتصموا بالمطار,0
"@DimaSadek ساليلي اهلك شو عم بقولوا ثوارك .. عم يهتفوا لصاحبك الحريري 
العما ما اهبلك",1
@DimaSadek يا غبية قال لن نقبل باسقاط العهد ولا نؤيد استقالة الحكومة وعادا لحتى امثالك الاغبية يفهموا يا بهيمة بس طلعتي اغبى من الغبي ��,1
@yumnafawaz @saadhariri على ما يبدو إنو توقعاتك زي توقعات ليلى عبد اللطيف,0
@DimaSadek @yumnafawaz معقول نزلتو تصورتو وفليتو دغري,0
@yumnafawaz اين حرية الرأي؟؟؟ كيف بتهيني الناس وتسميهن غنم؟,0
@meedamine10 @DimaSadek اللي بدق الباب بدو يسمع الجواب،،، رحم الله امرء عرف حده فوقف عنده,0
@zTeBUwQfuLXDaCO @KSaghieh @DimaSadek هذا أقلية لا تمثل ، لكن من يريد ان يكون فوق الانتقاد عليه ان يقف بمكان الشبهة… https://t.co/nYVl9m0Qnh,0
"#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية… https://t.co/icoHoqv5CI",1
@berrynawal يا نوال يا نوال خبريني شو كان لون كلساتهم لما صار هالحديث بما انك كنت موجودة,0
@Jessicaazar مش هيدي يلي سقطت بالانتخابات�,0
@MTVLebanonNews @aliimortada @DimaSadek @HichamHaddad57 @PaulaYacoubian بري وجبران قعدو سنه يتخانقو على النفط . كل… https://t.co/Im8uCIr9po,0
@yumnafawaz يا بنت الحرام في طرابلس حصل إطلاق نار من اجل ازالة صورة وفي جل الديب حصل نفس الأمر يعني سر السبب لتركيزك على النبطية يا صرمة,1
@DimaSadek اهم شي يقبر قلبك ويقبرك بالطريق,1
"RT @AHMAD_SD0: @DimaSadek كذابة 
#ديما_الواطية #ديماالكذابة #ديما_الحقيرة",1
@abouelnouboul @DimaSadek تكبييييير ... كل ما صار شي بهالبلد عملتولي فيها مكشوفه ومكشوفه .. شو الناس عم تنام وتقوم… https://t.co/NaUuvZkrPQ,0
نانسي السبع : أعداد المتظاهرين تتزايد في ساحة رياض الصلح بعد خطاب السيد �� https://t.co/jdhPzyc5KE,0
@DimaSadek سقط الرئيس الحريري يا هبلة,1
@DimaSadek مدام ديما اذا ممكن تسألي شي خبير اقتصادي مدى قانونية الهندسة المالية التي قام بها حاكم مصرف لبنان لتربيح… https://t.co/QflCTo09K7,0
@berrynawal الله يحشرك معو يا رب,0
@DimaSadek ��� يعني انتي وهل كم اهبل اكتشفت البارود ليش وين في جيش بلبنان المحرر غير جيش لبناني يا هبلة,1
@DimaSadek انت معروفة شو انت ومن يوم يومك ممسحة على درج السراي فشرتي إذا بتوصلي لكعب صباط السيد لا انت ولا معلمينك,1
@yumnafawaz يمنى تفضلي على ساحة الشهداء، من هون ما عمنشوف إلا لبنان الجديد بلا الوجوه القديمه، منظر بطير العقل,0
@DimaSadek ما في احقر منك يا عميلة #ديما_الواطية,1
@DimaSadek ديما صادق احذروها هي ناقوس فتنوي في مشروع مشبوه وبوق اعلامي مأجور انها قرن شيطان احذروها.,1
"@yumnafawaz والله طلعتي درجة
من ربع لسان 
لَ نص لسان 
بهنيكي انا و حابب اتعّرف عليكي دروري",1
@DimaSadek @KhotyarK من اليوم انتِ حُرّة,0
@DimaSadek سكري بوزك يا عاهره,1
"@DimaSadek  إنتِ أشرَف منن كلن ومن أخلاقن..
#كلنا_ديما_صادق",0
@DimaSadek #كلنا_ديما_صادق #كلن_يعني_كلن الله يقويكي,0
@DimaSadek يا حنونه بتخافه عليهن والله لستحو ماتو,0
@jemnina_1 ما هي الرسالة التي توجه؟ سخافة متل سخافة @DimaSadek,1
RT @abir_zgheib: @DimaSadek سدي نيعك يا واطية,1
@DimaSadek يازعرا انت ههههههه,1
"اخرسي يا نانسي السبع  و خليك بمهنتك الإعلامية و استمعي لكل الآراء و لا تفرضي آراءك على الضيوف و على المداخلات 
هذا… https://t.co/GEHS4gNWEC",1
@DimaSadek والله ما فيه اقوى منك، الله يحميكي,0
@DimaSadek @yumnafawaz صدقنا انك نزلتي.. ليه ما بقيتي #ديما_الواطية,1
@DimaSadek شو قصتك مع المقاومة لو عنجد بتحبي لبنان روحي شوفي عملاء اسرائيل واكشفي المستور من جماعة جميل وجعجع ومن لف لفيفهم ....,0
@yumnafawaz المهم زبدة الكلام ع ريت ستي,0
@DimaSadek صايرة كذابة وموتورة,1
@yumnafawaz الانتقاد بل السياسة حق بس احترام الكبير واجب,0
"#كلنا_جويل ❤️
@joellebouyounes https://t.co/cpH67eDoBq",0
"@DimaSadek هني الواطيين حثالة المجتمع 
ما تهكلي للهم",0
@DimaSadek يا حيوانة ليش مين بعبدا و مين الضاحية,1
@richany_maria @DimaSadek بليز اسكتي من دون ما تلعي نفسنا اكتر من هيك، باسيل و عمو هني الفساد بحد ذاتو,0
@DimaSadek اديش عم تاخدي عا كل تويت لتبيني هبلععععع,1
@DimaSadek شدي براغي حنكك طول عمرك واطية وعميلة #ديما_الوطية,1
@DimaSadek #ديما_الواطية قريبا حنزورك عبيتك بالروشة,1
@DimaSadek يا حمارة العلم لي عم تسألي عنو مرفوع بالعالي ورح يضل مرفوع بالعالي بس للأسف إنتي واطية كتير مش قادرة تشو… https://t.co/u0hSpk3M7T,1
@DimaSadek ديما هلقد الإصبع عم يعمل فيكي صدقيني ما في داعي تفزعي من شي بس كوني صادقة الكل بيحترمك,0
@yumnafawaz @lara_msaed رمز الفتنة رتش روحي انضبي,1
شجاعة وصادقة في موقفها @DimaSadek تحية لك https://t.co/n19NIPgxvi,0
@DimaSadek ست ديما ، الإستقالة لوحدها ما بتكفّي ، بعدها ناقصة ، قوليلهن يمشوا للآخر . يسعد صباحك . �,0
"@DimaSadek الله يحميكن
ثورة ضد الظلم و الفساد
احنا اهل اليمن قلوبنا معكن

تحياتي الك ديما صادق
و تحية ✋ لكل المشاركين بالمضاهرات",0
@berrynawal كامل احترامي لكي آنسة نوال الله يعطيكم العافية بتبيضوا الوجه و بترفعوا الرأس بحرفيتكن بالتغطية الله يحميكم,0
"@sarahhosseinii1 @DimaSadek عفكرة هي ما بتغرّد متل باقي الناس
#بتشنهق �",1
@NicoleHajal @DimaSadek شو حضارية انت !!,0
RT @HabibHusseinAy1: @DimaSadek يا واطية سألي دريان لمش دريان الله وين حاطو وقت وصل الملف على القضاء طلع قال السنيورة خط احمر ورمز من رموز…,1
@DimaSadek نفايات الكترونية و انت وحدة منن,1
"@DimaSadek ما بدك تشوفي، وفشر انو يسقطوا
#ديما_الواطية https://t.co/Tv9MnV4CFY",1
@yumnafawaz شو يا هبيلة وين استقالة الحكومي يلا خدي � و نامي,1
"@yumnafawaz طلعتي مسترزقة 
ومعاشك من فوايد القرض من مصرف لبنان",0
@DimaSadek عم بتشرعي حمل السلاح يا حمارة,1
@yumnafawaz ماذا عن هضامتك,0
@yumnafawaz يا يمنى يعني من الباب للطاقة صارة القصة ؟,0
"@yumnafawaz اي ورقة اقتصادية بتقدمت  هيدي الطبقة ما الا معنى وعود كذابة من  سنة ١٩٩٠
اول حل انو  يفلو وبعدين  منحكي بوراق",0
@Jessicaazar انت متل هيدا الأزعر اللي مسكر الطريق  و كان من قبل خوات و بطل خوات و صار هلق لبناني...حرباية,1
@DimaSadek الوثائق اصبحت عند القضاء تفضلي إسألي القضاء,0
@yumnafawaz بهيدي الطريقة بتحكي مع بيك لرباكي ونعم التربية اذا كان بتعرفي مين الظاهر من حديثك بلا اهل,0
@DimaSadek انت اكتر وحدة ما بحقلك تحكي عن الشرف...ما تكوني مفكرة الشرف شي بونبونة...لا عيني..الشرف شي ما خصك في...بس تكبري بتفهمي...,1
"لازم كل لبناني بيحب وطنو، يفتخر فيكي من بعد هيك مقدمة
بس للأسف...
@DimaSadek 

Must watch
https://t.co/I01vRPtaIX

 #كلنا_ديما_صادق",0
@DimaSadek الله يخديك الهي يا حشره,1
@Yosra22920427 @DimaSadek فساد شو ؟!!ما تكون عم تسرق الدولة وتعمل صفقات على حساب الدولة..ما تكون عم تبعت شباب يقوصو… https://t.co/jYLVbYKjSY,0
@Fatima73611466 @DimaSadek ليه بعد في يطلع غير ع المنار هل الفاشل ..أكيد بعد هل الثورة رح يدمن على المهدئات,0
@DimaSadek ايه ليه ما حدا عم ينقل نبض الثورة طرابلس !!!,0
@zna_krm @LBCI_NEWS و قال شو اسمعو عم يهتفو ضد السيد ��‍♀️��‍♀️��‍♀️ الهبلة مش فهماني انو هني ذاتهم الي ضد السيد بع… https://t.co/VQQROMEMMj,1
RT @JKatrib: @DimaSadek سدّي بوزِك، بوزِك سديه #ديما_الواطية https://t.co/XFKjD10AGh,1
@DimaSadek عالجبانة انشالله بتنزلي دغري و بقبرك,1
"بتتذكرو بس ديما صادق كشتو للبوق السوري وئام وهاب؟
من يوما صرت حب @DimaSadek #كلنا_ديما_صادق",0
@YassinYassin313 @yumnafawaz عم بطعموها الها بطاطا ولبنه ولغيرها كبه بالكبايه ...وكنافه علي بابا ���,0
"@DimaSadek
تلحسي ما تضرسي",1
@DimaSadek @LBCI_NEWS بلا قطعاً من اجري بحديثك،هبلة .,1
@yumnafawaz شكلك هبله. نحن  طوائف مش بلد يا خالصه,1
@yumnafawaz النازحين هي مشكلة من المشاكل يلي عم يواجها لبنان . معك خبر انو في مليونين نازح؟,0
@berrynawal منحبك نوال,0
@berrynawal الحمد لله ع سلامتك نوال أنت مثال  المرأة الشجاعة الجريئة يعطيك الف عافيه,0
@Jessicaazar قناة الثورة التي تعطي صورة رائعة عن لبنان من شماله الى جنوبه,0
@DimaSadek ايمتا بدك تصيري بنت عيلة وتبطلي تحكي متل ولاد الشوارع انتقدي بحضارية يا سفيهة,1
@RoulaJrady1 @Jessicaazar عم تركب الموجة بحذر شديد.. ذكية جسيكا �,0
"@DimaSadek انوا مش وقتها. 
دايماً الوضع حساس و مش وقتها",0
"@DimaSadek يعني اسمالله عليك من وين جايبي كل هالذكا. كل خبرية بتتحفينا فيا بدا أينشتاين ليحللا. برافو
��� https://t.co/7osdfXSSYS",0
@DimaSadek بحب طمنك جعجع راجع https://t.co/RsTXVWpxvi,0
@yumnafawaz عاملة فيها المحقق كونان. خليها طالعة طلعتها. بس مش مطولة القصة ليرجعوا على جحورهم,0
@DimaSadek و المقاومة لا تموت عزيزتي ديما...لأنها من صميم الشعب و روحه الثورية.. تحياتي❤,0
@yumnafawaz @saadhariri ما شاء الله نبيهة جدا طا شاء الله,0
@yumnafawaz @saadhariri أنت اذكى صحافية ....,0
@DimaSadek مين حضرتك لتقولي ممنوع هيدا الشي او مسموح هيدا الشي بعدك ما وصلتي لمترح تأ تبلشي تمنعي نعم لحرية الرأي مهما كان الرأي,0
"@DimaSadek #ديما_الواطية معلومة قربة لله حرف k بيعني 1000 .
رجعي طلّعي بالأرقام هلأ وخبريني عن شعورك!",1
@DimaSadek احتياط سكري نيعك �,1
@DimaSadek يا اغشم مخلوقات الله .. يا مسخرة التاريخ .. يا تافهة .. يا فاجرة .. و اكتر بكتير .. سماحة السيد اللي صرم… https://t.co/zhd0VAf446,1
@yumnafawaz كتير منيح بكر الحكومة يلي رح يجيبا الشعب رح تاخُدَ بعين الاعتبار الورقة متشككون,0
@DimaSadek إنسانة وصولية انتهازية متلك يجب طردها من ساحات الحرية. سوري عا كلمة إنسانة ���� كل عمرك نايمة بأحضان الس… https://t.co/x4lZBJZvSo,1
@AbdooYaraa @DimaSadek نقلعة انت وياها العمى بقلبك شو بلا شرف,0
@yumnafawaz نطقتي بالحق فهاجموكي,0
"@DimaSadek بدي اعرف من وين بتجيبي هضامتك من أي مجرور ؟ 
سم لعم تبخيه عم يطلع فيكي 
ابكي بترتاحي",1
@DimaSadek انشالله @KazwiniM بيقبرك و برتاح من قرفك و هبلك ��,1
@DimaSadek تلحسي مفكري حالك بتفهمي و الحشا بينك و بين الفهم مسافة ما بتوصليلها,1
@DimaSadek العمى بقلبك ما اسخفك...لو في علم الحزب كنت قلتي وين علم لبنان...عنجد انك حاقدة,1
@LbciLebanon @DimaSadek احلا ديما صادق,0
@yumnafawaz انت عم بتقوليها بس بلسان غيرك والا ما كان في لزوم تحطيها.,0
@zTeBUwQfuLXDaCO @KSaghieh @DimaSadek هيدي حجة كل السلطات على مدى كل الثورات و الاحتجاجات ، التهديد بالفراغ ،,0
@LayalElAli5 @DimaSadek احلا عالم @DimaSadek لازم تكون وزيرة الثقافه والسياحه❤️,0
@DimaSadek يا ريتو تارقك بشي انينه او صرمايه على وجك,1
@DimaSadek الله محييكم والله يحميكم,0
@DimaSadek بكرا بس تاكل سحسوح على الحواجز الطائفية بتشفى,1
@alimouinjaber @DimaSadek اللي بيحط راسو بالتراب وماعنده اي كلام يحكيه عن الفاسدين يكف بلاه عن اللي بيحكي… https://t.co/9WC9e3PXeC,0
@yumnafawaz خلي التعليق لحدا بيفهم ، انتي انضبي يا مجوية,1
@yumnafawaz إنت شو محلك من الاعراب لحتى تحكي على سيدك وتاج راسك . لعمى بقلبك سكري بوزك وحاجي تحكي,1
@DimaSadek واطية عن جد واطية,1
@DimaSadek اه والله انك صادقة,0
@DimaSadek يعيش حزب الله حالة تخبط غير مسبوقة، على وقع احتجاجات في كل لبنان، لا سيما في البيئة الحاضنة والتي لم تشه… https://t.co/ieDEQgB4Hi,0
@yumnafawaz صدقيني ما حدا مقصر بحدا,0
@yumnafawaz من شتم.  ومن. اهان. اي. شخص. هو يمثل نفسه فقط. طرابلس. مدينة. العيش المشترك. والاخلاق والروح. الوطنية,0
@berrynawal يسلم تمك,0
@yumnafawaz بلا ما تفسري مين عم تشرجي التلفون او من اين كل هذه الموائد الشي واضح وكلنا منعرف من اين لكم هذا,0
@DimaSadek اجري فيك شو انك حيوانة بس...الحيوان انظف منك.. الهي يفقعك جلطة تاخدك و تريحنا من قرفك. انت الوحيدة اللي بفرح لما سبها.,1
RT @Fadak11118481: @DimaSadek حرام بشفق عليكي كنت اسمع انك فاضية عذرا من كلمتي بس ما كنت صدق لان بنظري انه لو خالفني الرأي احدهم ولكن بيبقى…,0
"@DimaSadek تافهة منحطة وبايخة 
#لعبي_عقدك",1
@HassanRamlawi @DimaSadek الله يحميلك عيلتك,0
@DimaSadek منعرف انك معاقة و هلق تاكدنا انك طرشا,1
@yumnafawaz @joemaalouftv ما رايحه تكمل فرحتك ابقي تذكريني بعد بكرا,0
@REA361291 @DimaSadek وحدة وطنحية(عاملة حالها بتحب الوطن) وزوجها تخلى عن الجنسية اللبنانية. تفه على شرفك وشرفه.,1
@DimaSadek لبنان مش سوريا يا غبية,1
@DimaSadek موتي بغيظك يامتصهينة �,1
@yumnafawaz @rabiazayyat هلق توصيفك لهالورقة نابع عن عصارة فهمك ؟ بس لنعرف عمق تفكير البعض ��‍♂️�,0
@DimaSadek @LBCI_NEWS @JeanFeghali المجد والسلام للبنان شعباً وجيشاً ����,0
@DimaSadek ههههههه لماذا البكاء ياثوريه يام الاخلاق �,0
@DimaSadek @AhmadBallout15 ٧ ايار الجايي لازم يسحبوك من شعرك بلكي بتصيري  تفهمي,1
@medhat_gh1 @DimaSadek كل صادق علية الوقوف مع ديماصادق الله يحميهامن سرورهم,0
@DimaSadek #الرئيس_القادم_جبران_باسيل غصبن عنك يا شرشوحة,1
@berrynawal بتمسحي جوخ منيح ...,0
@yumnafawaz اصمتي يا ام نص لسان,1
@DimaSadek الله يلعن شرفك وشرف لي علمك . انت وحدي عم تلعبي بي دمك من شان المصاري عم يدفعولك مش شبعاني بعدك . حزب ال… https://t.co/YlE5ONeDMQ,1
@yumnafawaz هو لو في بلد وقضاء كان لازم انتي واذاعتك على المحكمة بتهم تحريض واثارة الفتنة في لبنان,0
@YazbekWehbe @DimaSadek خرا عليك وعلى @DimaSadek,1
@DimaSadek عزيزتي ديما! صرت أعشقك ❤,0
@DimaSadek انتي بالذات كلي خرا,1
#كلنا_ديما_صادق لأن #نصرالله_واحد_منهن ���بس هيك @DimaSadek,0
@HadiiiHammoud @DimaSadek الكلمة المناسبة في المكان المناسب,0
@kwack_b @DimaSadek العمى شو جاهلة,1
@DimaSadek تيتا ديما يا هلا انتي المثال الأعلى عن اللبنانية يلي بيحكوا بدون ما يفهموا شو عم يحكوا,0
"نانسي السبع صارت القصة عندا كمين ومحاور و حفرة مدري مين وقع فيها
بعد كلمة السيد أكيد الاعلام المأجور بدو يحرض اللهم… https://t.co/WWhdEJVzDD",0
@saraahmad19850 @hadi81mansour @DimaSadek #الدواعش_ينبحون,0
@yumnafawaz في مثل هذه الحالات يبرز مواقف انسانية تدل على ضعف الانسان ومدى تأخره عن فهم الحقيقة التي لم تزل بعيدة عن ادراك العقل البشري .,0
@berrynawal @CharbelGhsoub وين الاثبات يا نوال,0
@DimaSadek الله يلعنك صهيونيه,1
@DimaSadek السيد حسن نصر الله صرمايتو أشرف منك و منون يا ديما صادق,1
@berrynawal نوال حكيلنا مع إبن عمك بركي بحللنا  مجلس النواب وخلي يعطيهم اجازات طويلة,0
"@DimaSadek نرجع لبلدنا... حبيبتي ما هوي البلد إلنا
لبقدم ولادو شهدا فدا البلد ان كان ضد محاربة داعش او اسرائيل شو ب… https://t.co/l97fiC19nD",0
