Text,Toxic/Not Toxic
"‏قاع سهم ‎#بوينج باذن الله من ١٠٧ الى ١١١
الدخول منه للمستثمر طويل الاجل
أما المضارب فالدخول السليم بعد اغلاق يومي فوق ١٤٠ باستهداف ٢٢٠ ووقف ١٣٥ باذن الله",0
إنا لله وإنا اليه راجعون اللهم ارحمهم ورزقهم الفردوس الأعلى من الجنه اللهم احفظ مصر 🇪🇬 العروبة والناس الطيبة وكل رجالات مصر حكومة وشعب وسائر بلاد المسلمين والناس الطيبة ورزق ابناء مصر وأهلها حب مصر والحرص عليها اللهم عليك بكل خائن قذر 🤮 يريد الفتن بين المسلمين والناس الطيبة,1
والله انتي قحبة متناكة والله كثير من بنات المغرب قحاب,1
‏الأصحاب نوعين واحد بهز رجله والتاني بتضايق من الحركه دي..,0
"اسلاماه وا اسلاماه! اقتلوا الزنوج! و سوو برادة باسمي! """,1
"قد يُهدَمُ الحبُّ الجميلُ وينتهي
لكنّ حُب الأُخت لا يتهدّمُ ... ♥️😍",0
"يفوز اهل النوايا الطيبة في النهايات مهما تعددت خساراتهم فاعظم سبب للتوفيق والرزق ليست شهاداتك ولا علاقاتك ايا كانت بل نيتك الطيبةالخالصة لوجه الله هي التي تفتح لك ابواب الرزق والتوفيق من حيت لا تحتسب 
 النوايا الطيبة  هي التي ترتب لصاحبها  اجمل الاقدار
يومكم جميل ❤❤",0
سلام عليكم اكره السود**نين معسلامه,1
‏‎الحين ليه يصيحون السلافع ترى حتى ببلدهم محد معطيهم وجه,1
"‏الناس تخلي بالها من أطفالها ياناس... وجود حيوانات منوية بعينة براز لطفلة...
اللهم احفظهم يارب... ",0
‏‎لا الله يرحم والدينكم عجزنا نتحمل الاولى تطلعلنا وحده ثانيه‎,1
مصريين خولات,1
"وجود الإله مجرد احتمال لاكن الاديان ميزتها خلقت الإنسانيه و موده بين الناس الي  يدعو بأن الإله مالف بين قلوبهم لاء لو جيت للاسلام فقتلوهم حيث سضفتموهم .و يا أيها النبي حرض المومنين علي القتال الي منها داعش دلوقتي و هو هو نفس الإله الي امر ب القتل هوهو الي قالك و من قتل نفس بغير نفس فكانه قتل الناس جميعا و من احياها فكنها احيا  الناس جميعا محدش عارف الحقيقه فين
",1
اذن من السنة البول في الفخارة,1
سأوسعك ضربا,1
"يأتي الاستحواذ في إطار استراتيجية ""تنمية"" الهادفة إلى طرح المزيد من المنتجات الابتكارية في سوق التمويل متناهي الصغر دائم النمو في مصر، وتدشين مرحلة توسعات جديدة للشركة.
",0
أنت بتشتم ليه يبن الخول يا مهزق,1
"حراس الارز حزب قومي لبناني فاشي عنصري ضد الفلسطينين من اشهر عباراته ""لن يبقى فلسطيني واحد على أرض لبنان"" أو ""على كل لبناني أن يقتل فلسطينيا"" هذا الملصق له في السبعينات ضد القضية الفلسطينيه",1
"فلسطيني أنهى دراسته الجامعية , ولم يعثر على عمل ليُعيل أسرته , قرر أن يضع ميزان في شوارع غزة , ويمكنك معرفة وزنك مقابل ""نصف شيكل فقط""",0
"يا شباب يوجد سيارة كورولا ٢٠١٩ للتنازل في عبداللطيف جميل قسط شهري ١٦٠٠ وماشية  ٨٥ الف كيلو بتاعت اخ مصري نازل نهائي 
",0
رئيس الوزراء ينقل للحضور تحيات الرئيس السيسي.. ويؤكد: الدولة تحرص على تمكين الشباب في المناصب القيادية والاستفادة من قدراتهم وأفكارهم,0
‏اليهود كا الكلاب المسعورة تجوب شوارع وازقة جنين البطولة,1
‏محرومة من الامتحان و بتصور🤣❤️ ,0
‏الانتحار سوء ظن بالله وضعف يقين، وفاعله متوعد بالنار وهو ليس من المتقين، قال تعالى (ولا تقتلوا أنفسكم إن الله كان بكم رحيما)، فترسيخ الإيمان والرضا في النفس، علاجٌ للتفكير في الانتحار واليأس، ولا بأس بالتداوي من تلك الأمراض، التي تصيب النفس وتؤدي إلى التفكير فيه كعرَضٍ من الأعراض,0
سرطان الرئة ان شاءالله يصيب الفريقين,1
"‏كل التعب ده مش هتحس بيه بعد أول دعوة بتسمعها من المريض
- المريض ‎",0
خير عظيم... التمسوا واقتبسوا,0
شويه شراميط والله بنات متناكين بيوقعوا وفي رجالة بيروحوا زي الخرفان,1
"ن إرادة الثوار أتكلم..
عن الثورة أتكلم..
عن ثورة وعيٍ غرست في دواخلنا حب الوطن..
عن حلم شهداء مُلهِمون،،
عن وعي طفلةٍ أرسلت رسالة لكل الأمة جمعا..

#عقار صغيرنا يعلمك الدرس أن الأوطان تفدى بالدماء علك تعرف جيدا من هم صغيري العقول. 

 #إرادة_الثوار_أقوى",0
‏ماذا لو عاد معتذرا؟,0
عندما تجتمع كلاب الأثر وعناصر الشبيحة فستكون الفوضى والفلتان الامني الذي لا يخدم إلا الصهاينة,1
"رئيس الوزراء يتابع مع وزيرى السياحة والآثار والطيران المدنى حركة السياحة الوافدة
",0
تخيل يا سيدي أن تحب امرأة تحبك، يستشعر كل منكما في جوار صاحبه الأمان، تجيدان صنع الضحك معا,0
بجد مش معقول كل ڤيديو أروع من اللي قبله،، تاني تاني عمر بيضحكنا تاني بطريقة كرايتيڤ كل مرة وحقك علينا يعبحليم ابننا شاطر بس شوية مونتاج,0
"الاحتياطي الفيدرالي الأمريكي يرفع أسعار الفائدة 75 نقطة أساس لتبلغ 1.75%
",0
‏الفديو زابط حبيت,0
ربي معاكم وان شاء الله تنتصروا على هؤلاء الظالمين عديمي الهوية,1
"مقتبسات من دكتور محمد الغليظ ❤️ || افتح الصور
",0
السلطه الفاسده أشد خطرا على قضيتنا من العدو الصهيوني وهي تمثل الذراع الأيمن للاحتلال الحل الوحيد هو تصفية غربان المقاطعة السوداء الان الان الان الان الان وليسى غدا إلى مذابل التاريخ إلى الجحيم باذن الله,1
خولات وشراميط السيسي ..لو دخلي عند اي حد منهم هتلاقيهم سمن علي عسل مع سعوديين وسعوديات ...تعريص وانبطاح بن وسخة,1
ياعم دول شوية خولات سعوديين مقهورين من أسيادهم المصريين.... والراب ده بقاله أكثر من عشر سنين,1
"مثل الجبل ثابت وعمره ما إنحنى
 ماكن وله قمّه عزيزه عاليه🖤.
#محمد_الزعيزعي",0
"أحلى حاجة في اني شغال في co-working space في مدريد إن كل اللي قاعدين حواليا اوروبيين مما يعني اني لما أكلم شريكي في الشغل في مصر على Google Meet، ممكن بكل أريحة أبدأ المكالمة ب ""أيوا يا متناك يا خول البراري"" ومحدش جنبي فاهم حاجة.",1
‏حينما يحل بك مصاب فترى من حولك حل به نفس مصابك يهون عليك ماتجد من الألم، لكن يعظم الأمر إذا كنت متفردا بالمصيبة، هذا في الدنيا لكن في الآخرة تأمل قوله تعالى: (ولن ينفعكم اليوم إذ ظلمتم أنكم في العذاب مشتركون)، فالله تبارك وتعالى ينفي من أذهان أولئك هذه المشاركة التي يجدها  ⬇️,0
"""سلمت أمري للذي لا يغفل ولا ينام ولايكسر بخاطري، ولن يردني خائباً.""
 #محمد_الزعيزعي",0
‏‎اذلف يا كلب,1
ليس الهدف من هذه الصوره الحط من قدر عائله جمال ريان ، بل تذكيره أنه منحط بالفعل,1
"من أقوال البشير الابراهيمي  
"" يا فلسطين إذا كان حب الأوطان من أثر الهواء و التراب، فإن هوى المسلم لك أن فيك أولى القبلتين، و أن فيك المسجد الأقصى الذي بارك الله حوله """,0
سجمي ي يمه كان راجل وبقا باطل 💔😂😂😂😂😂😂✋,1
سير الله ينعل طبون مت مت مت مك ومت الجزائر على هاذ المنشور لي كي حتشون إماك تفوووو على الراسة تاع ولديك سير تقرا يازبي مالكم مكلخين مالكم,1
"الجناح المغربي « Morocco pavilion » في بوتراجايا «putrajaya» ويعرف أيضا بإسم «استاكا» أكبر حديقة نباتية في ماليزيا وهي تحفة معمارية مغربية  بأيادي حرفيين مغاربة.
هي مهارة أهداها الملك الحسن الثاني رحمه الله لهذا البلد المسلم تبين قوة التاريخ والحضارة وترصد شموخ الزخرفة و الابداع.",0
"اقسم بالله مسخرة، الصهاينة كل يوم يزيدو عدد الاقتحامات للاقصى من أجل تقسيمه مكانيا كما قسموه زمانيا، وبدل ما يشجعو الشباب بالرباط فيه جالسين يعتقلو فيهم ويعذبوهم وبيشغلو العالم في هاد الامور
حسبنا الله ونعم الوكيل بطلنا نعرف مين الصهاينة فعلا",1
"تزوجت زوجتي على سنة الله ورسوله 
 لا حب ولا غيره 
كتابة العقد وثاني ليلة تم زواجنا 
والحب والأحترام والمودة جأت 
بعد الزواج 
كنا أطفال لكن العقل عقل كبار وحتى 
اللحظه ما اذكر انها ازعلتني أو ازعلتنها 
ورزقنى الله باولاد وبنات ولله الحمد 
ووصيتي بعد عمر طويل 
 أن ندفن بجانب بعض
",0
الاجابه لكل الاسئله علي لسان الخبير الامريكي واجابه لكل معر$مؤيد للنظام يا منافقين ضيعتم البلد دا عميل خاين مزروع في الجيش جي بأجندة,1
انا اعرف مصريين خولات عاوز اجيبهم ليك,1
"الكضية على الطريقة المثلية
هناك شعب منافق كذاب سوف يغير شعاره الان الى : مع فلسطين مثلي او مثليه",1
@khaled_sefarat السواق المصرى بتاعه ب10 رجاله سعوديين خولات .. وحريمكوا عارفين كدا .. واسال مراتك على بتاع المصرى قد ايه ههه,1
"أعلنت مايكروسوفت اليوم 15 يونيو 2022م عن انتهاء دعم برنامج إنترنت إكسبلورر وخروجه من الخدمة نهائياً، بعد 27 عاماً من إطلاقه.
",0
البت العاملة ذي القعونجة الانتاية دي عاملين ليها قومة وقعدة ساي والله,1
"‏شباب بتعرفو احد في السفارة المصرية يساعدني اطلع تاشيرة ...

يلا باختصار في شي اسمه اجراء أمني لغير السودانيين وياخر التاشيرة للاسف 💔

فلو تعرفوا احد في السفارة يساعدني 💔🥺",0
🤣🤣🤣العجوزه الما بتخجل دي اولادك رجال خلي كلامك محترم انتي ما صحفيه انتي رداحه,1
"عملاء #أردوغان الارهابيين يمنعون الناس من المرور من منطقة بلدة #ميدانكي الى قرية #كفرجنة الاّ بعد دفع الأموال كضريبة مرور!
نعم.. عندما يسكت الناس على وقاحة الإرهـ اب الأمـ ريكي وأعداء البلد وتصرفاتهم الظالمة فستزداد وقاحاتهم أكثر فأكثر حتى تصل الى أخذ الأموال من مرور الناس!!",1
عليك بضرب الطفل حتى يتعلم,1
‏‎مخاوفي في الحياة انو اطلع اطول منو😔💔,0
"موخرًا ومع ازدياد ضغوط الحياة وازدياد الأعمال والمسؤوليات وضرورة الموازنة بين الأهل والأبناء والعمل؛ أصبح من الضروري الهرب من الحياة العملية والبحث عن بدائل جديدة تعزز من الصحة النفسية واستقرارها، كالدخول في هواية جديدة تنقلك إلى عالم مختلف عن نمط حياتك المعتاد...

#نادي_مقروء",0
يتسكر باب وينفتح بداله ألف باب، تخسر شخص و الله يعوضك بأحسن منه، توكل على الله ولا تتحسف على شيء، كل شيء يتعوض الا نفسيتك و صحتك واللحظات اللي بحياتك، لا تضيّعها على شيء ما يسوى,0
"رسول النكاح لماذا قضى محمد رسول الإسلام اغلب وقته في ممارسة الجنس مع عشرات النساء ؟ 
",1
لأنهك وجهان لعمة واحدة ماذا تنتظرو من هيك رئيس وبلد يدعم العدو المحتل الفصل العنصري كان الله في عون فلسطين والمقاومة فإنهم لاعون لهم سواك يا الله,1
الكلبه تبقي امك يا ولد الشرموطه يا سعوديين يا خولات العالم علمناكم ازي تاكلم علمناكم ازي تشخ يا ابن الشرموطه وف الاخر تغلط ف اسيادكم يا بهايم,1
لكل طفل خياله في تصور الحياه ومن الضروري مساعدته في حب العلم والمعرفه.... من رسم ابنتي ماشاء الله تبارك الله,0
"‏مستوى المبيعات التجارية في امريكا ينخفض الى 0.3%- و كان متوقع ان يستقر فوق 0 عند 0.2%+ 
المؤشر يشير الى انخفاض شديد في شراء الناس للحاجات (انخفاض الطلب) و التوجه نحو التقشف و هو مؤشر سلبي للاقتصاد بشكل عام ‎",0
‏‎دقنه مقطع كانه من طلاب الشريعة الي يرقصون كذا,1
كتاب (التحليل الاستخباري),0
"‏فوائد القرنفل مع الحليب 👍

عندك علم لو حطيت معلقة قرنفل صغيره مطحونة علي كوب حليب وشربته علي الريق ..ماذا سيحصل لجسمك؟؟ 👇",0
هذا موقع تابع لحماس وكل هذه التعليقات ضد حماس . الشعب عرف شو همه أحفاد المجحوم حسن البنا,1
"‏راكب في حافلة كلها بنات الحافلة إنقلبت 
لقيت نفسي في حضن السوااااق 😭😭😭💔💔💔",0
"‏م. ‎#أيمن_أبو_جوخ- مدير عام شركة سودابت المعزول يكتب مذبحة الشباب الخريجين المتميزين في ‎#قطاع_النفط :

دخلت اليوم في موجة حزن عاصفة، متحسرًا على ما يمارسه البعض، من إهدار مقصود للإمكانيات وتبديد للطاقات. فقد أتاني الخبر اليقين بأن الطاقم الاداري لشركة البترول السودانية الوطنية",0
"عودة الإرهاب الإسلامي في مصر ارهابي سلفي يذبح قسا في الشارع أمام الجميع
",1
#تيران_وصنافير_مصرية #ارحل_ياسيسي ابن اليهودية فرحان زي مايكون فتح عكا وارجع واقول هو صهيوني والعيب مش عليه العيب علي جنرالات السبوبة والعار اللي سايبينه يبيع في مصر ويقتل المصريين,1
_روحت الجامعة صد رد يدوب امتحنت,0
"السؤال ماشي واش كاينة حياة ذكية خارج الارض ولكن السؤال هو واش كاينة حياة 
ذكية داخل الارض",0
"هاد مش أمن اسمه زعرنه بلطجة
حقارة وساخة اي شي وسخ بس مش أمن",1
"ليفهم الجميع أننا قد طلقنا اليأس، واستقبلْنا الأمل، مهما كثرت النوازل والمشكلات والانحرافات، ومهما كثر الطعن واللمز والسب والشتم، بل لا تزيدنا المصائب والشدائد إلا إصراراً.
",0
‏‎اقسم بالله حرام تطلق على ذولي حريم ذولي اذا بتتكلم عنهم تقول انثى مع تفله بعد,1
"هل الله ضعيف لدرجة أن المسلم يدافع عنه؟
في هذه الحالة يكون الله معاق!
صدق جيلو العظيم",1
"اذا كانت امي ابنتي  زوجتي او من اهلي...
اما حب ما اعتقد لو انا بجد بحبها كان تزوجتها بتحدي عن الجميع...",0
"#مرحبا_2022
تحت الرئاسة الفعلية للملك #محمد_السادس تطلق مؤسسة محمد الخامس للتضامن نسخة 2022 من عملية مرحبا لاستقبال المغاربة المقيمين بالخارج ابتداء من 5 يونيو 2022.
جل اِمكانياتنا البشرية واللوجيستيكية مجنّدة لإنجاح عملية مرحبا 2022
اينما كنتم 🇪🇺 سنجدد اللقاء على أرض الوطن 💚🇲🇦",0
"صدقوني أعظم حُب حُب الاب وبس
",0
"‏""مجرم الحرب قائد مليشيا الجنجويد مواصل في حملتو الانتخابية وتقديم نفسو كرجل دول وحلّال للمشاكل ..
 حميدتي بجهز نفسو لحكم السودان ولو مات ثلث الشعب ما بفرق معاهو مافي حل غير نواصل رفضنا ليهو واي دور سياسي ليهو ولي قواته""
🇸🇩✌
‎#الشارع_أقوى_سلاح
‎#لاتفاوض_لاشراكة_لاشرعية",0
في خولات مصريين فرحانين بال بيحصل,1
"💢#عاجل قطر تسمح للاسرائيليين دخول قطر بدون تأشيرة لحضور كأس العالم
",0
لعنة الله عليكم أوغاد 😡,1
‏‎الاملط يعععع 🥵🤮🤮🤮🤮🤮🤮,1
يا عرص يا خول الكوره جايه فى ايده قصادك و وديت وشك الناحيه التانيه كأنك مشوفتش,1
اجتماع عمل اليوم مع معالي وزير التجارة السعودي، الدكتور ماجد القصبى، خلال فعاليات المؤتمر الوزاري الثانى عشر لمنظمة التجارة العالمية المنعقد بمدينة جنيف السويسرية.,0
"حـب الـــذات ليس أنــانيه‍  بـل أه‍ـﻤـيه‍
",0
"إبنتي شيخة وإبني عمار حفظهم الله وهم مُتجهين للروضة للإحتفال السنوي المُعتاد بدولة الإمارات بمناسبة اليوم الوطني السعودي ، نزرع حب المملكة بالأطفال تنفيذ لوصية أبونا الشيخ زايد رحمه الله حين قال :مصيرنا مع المملكة واحد ومُشترك🇦🇪🇸🇦 #اليوم_الوطني_السعودي 
#اليوم_الوطني٩١ #السعودية",0
"روی عن‌مولاتنا فاطمه الزهرا (سلام الله علیها):حب ابنتي زينب للحسين لانهائی لا يهدأ إلا برؤية حسين.
#یا_زینب_الکبری
#zeynab",0
انهي حياتك افضل لك,1
قارئين عند كلب واحد كلهم,1
محادثات معمقة حول عدد من القضايا ذات الاهتمام المشترك موضوع اجتماع بين وزير الداخلية عبد الوافي لفتيت ونظيره الاسباني بمدريد | حدث كم -,0
"بشرب قهوة و مروق حمدلله❤️

و اقرأ رسائل في وتساب وخاص لبعض الاشخاص يسأل كيف ممكن اصير مدرب شخصي؟

راح اكتب غداً ثريد للشباب و البنات الي عندهم شغف وحب و رغبه لدخول مجال التدريب و التميز فيه وكيف تصبح معتمد ايضاً في السعودية

-وذكرت شغف لان التدريب حب و عطاء قبل ما يكون بزنس و شغل",0
تحية لكل امرأة  تقضي عطلتها الصيفية في الولايات المتحدة المنزلية وخاصة مدينة كوزيلندا,0
"ونوه رئيس الوزراء إلى ضرورة التفكير فى طبيعة الأزمة الحالية، والتركيز على أهمية ترشيد الاستهلاك، عبوراً لهذه الأزمة غير المسبوقة، التى لا يستطيع أحد التنبؤ بانتهائها، لافتا إلى أن هناك دولا متقدمة ليس لديها العديد من السلع المتوافرة لدينا حاليا.
",0
‏حاجه حلوه انك تتبلد او تتغابى شعوريآ ،وتبقى مهما تشوف حاجات تضايقك  تكون مبتسم😊,0
"انتم تقولون ان الله الخالق لان يجب ان يكون خالق للاشياء اذا فمن وجد الخالق هل وجدنفسه
",1
"الفريق أسامة ربيع: ""إزالة 26 مليون متر مكعب من الرمال المشبعة بالمياه بمشروع تطوير القطاع الجنوبي للقناة... والمشروع يمثل نقلة نوعية في مشروعات تطوير القناة""
",0
اعتقد بأن مايحدث في #إيران هو تصفيات لمراكز قوى وقطوها براس #إسرائيل والشعب بسرعه يصدق …. امممممممم طيب سألوا قادة #إيران كيف إستطاعت #إسرائيل النفوذ في الداخل الإيراني لدرجه تقتل كل هؤلاء ولايستطع الأمن الإيراني القاء القبض على واحد فقط من منفذي هذه الجرائم,1
البت دي من أشوفها يومي بكون كلو عوارض والليله حيكون عارض😪,1
"💕رسائل للأحبة في الله💫🌹
🖊
إجعل لك رصيد من الحسنات بكل تغريدة تكتبها تذكر بها وتنصح وتعلم وتدعو وتنادي للخير وإجعلها صدقة عنك وعن والديك ⚖️💕🌹",0
مراهقهه كيف سويتي ابي اسوي زيك مو بطبيعي اكره السود😭😭,1
"‏هو انا ينفع اقول ليكى حاجه ؟
اتفضل كسمك يا عاهره",1
"💕رسائل للأحبة في الله💫🌹

إذا أحسست بالشقاء وعدم التوفيق راجع علاقتك مع والدينك وخصوصاً أمك🌹

قال تعالى""وبراً بوالدتي ولم يجعلني جباراً شقيا""
",0
‏‎الله لا يبلانا ، شي يحوم التسبد 🤢🤢 ، المشكله مدري على وشو مدري وش الزين بهم هالمخكره,1
‏‎هاهاها انت قاعد وين ي شيخ😂,0
امشي يا متناك رزق هنا رزق هناك,1
"❁↓
.
للأحبة:
للقلوب رسائل لا يقرأها إلا إحساس الأحبة وللنفوس حديث لا تسمعه إلا في دعاء الصادقين
جمعتكم مباركة ..
.
#نخبة_مغردي_عُمان",0
"الناس نتايجها طلعت وبدأو يصيفو وانا لسة فاضل لي 6 مواد.
",0
"تسجيل مُسرّب للصـ🔥ـهـ*ـيوني #عزمي_بشارة🚫 يكشف دفاعه المستميت عن ⁧إسـ🔥ـر١ئيل⁩ ومشاركته في التخطيط للإستيلاء على الدول العربية.
⬇️ #مَـن_هو_عـزمي_بشارة ⁉️
🔳 هو فلسطيني حامل للجنسية القطرية، وعضو ⁧الكـ/ـنيـ*ـست⁩ الإسـ-ـر١ئيلي، له النفس العنصري ضد عرب الجزيرة !",1
"تم فتح باب التقديم في الدورة الـ 31 لدبلومة الواقع الافتراضي المجانية (شهري يوليو و أغسطس)!
",0
"لاعب #الأهلي علي لطفي يتجاوز في حق أحد حكام مباراة #الاهلي_سموحه.. شيكابالا اللي جزمته بنص لاعيبة مصر اتوقف عشان قال لواحد خرب احتفالية دوري و بسببه ستات اتنشرت في الشارع ""يا أهلاوي"". حماية الغلط خوفا من اللي بيغلطو هو سبب انهيار الرياضة المصرية. #الزمالك أنضف كيان رياضي",1
"عايز اسألكم سؤال غريب شويه 
شايفني انفع اشتغل ايه و ليه ؟ ",0
‏بابا فجاه بدون مقدمات جاتو جلطه ف القلب، دعواتكم ليهو ربنا يرفعوا، اللهم اشفي ابي شفاء لا يغادر سقما ورد عليه صحته وعافيته وعافه يارب 💔🙏🏼,0
‏أنتَ واصل السعي، أنا الغي رحلتشي,0
‏‎الموضوع ما عندو علاقة بالدين ورجال الدين،الموضوع ليهو علاقة بالصحة النفسية,0
"بنهار 47 فالحرارة و بليل شتا ورعاد
",0
"جورج قرداحي يعود مجدداً إلى الإعلام عبر تقديمه برنامج مسابقات بإحدى القنوات العراقية التابعة للحشد الشعبي .
",0
المغرب ملكها خاين بالوراثه كلب زي والده وجده,1
💪الخــازوق اللي خدة #اردوغان في شرق المتوسط النهاردة هيعلي حاله الحرقان 🔥عنده و الفترة الجاية هيحاول يزود التحرش بـ #اليونان و ضرب الاستقرار و المسار السياسي في ليبيا,1
"لما احسب درجاتي ف اللجنه والاقيني جايب النص
",0
‏المطاعنات حقت الهظار ياها الحقيقة زااتا 😴,0
امي تقول اكره السود الدغمان ولو بيدي كان أبدتهم كلهم 😂😂😂😂😂,1
"‏يارب اسخط السيسي كلبة وخليها نتاية طالبة الجواز وارميه في خرابة فيها 1000 كلب جربان ومنتن ومعفن وحايح على نتاية 🤲
‎#ارحل_يا_سيسي",1
"يستعمل الكثيرون الاسبرين بتركيزات منخفضة للحفاظ على سيولة الدم وفى الغالب يستعمل اكثرهم علاج للسكر
",0
مغرب القودنه والطعريس لعنة الله عليكم,1
#وش_تقول_للعنصري انا اكره السود كره هل اعتبر عنصريه؟؟اكرههم بسبب اخلاقهم.,1
"حُب ولد الأخت عجييب، هو واحد وماخذ هالكبر من قلبي...احبه🤍🤍🤍🤍🤍😩
",0
بتصدقي انتي الوحيده البكرهك نهاي م ارتحته ليك لدرجه اني م بحب اسمع صوتك واشوفك,1
عرب زووووط,1
وين ميليشيات اوسلو يفرجونا مراجلهم على اليهود,1
‏ياريت اي زول بعرف معلومه صحيحة عن الاكتئاب او خاض تجربه وانتصر عليهو يحكي لينا في كوت تويت يمكن نقدر نساهم ولو بي ربع خطوة نحمي زول من الانتحار 💔 ‎#ما_تفقد_الأمل,0
ولاد بنغلادش حمير الاطلس,1
"نار الأذكياء ,  خرافة النار الإسلامية و نفسية محمد رسول الله الشريرة الحاقدة على البشر #جهنم
",1
"عرض 17 حمارا بالمزاد العلني يثير جدلا واسعا بمير اللفت
",0
"‏""سيفاجُئكِ اللهُّ بعوضٌ قريب""",0
معليش مب عنصريه بس اكره السود,1
"أسألك بقاء الود وسلامة الروح وطهارة القلب
",0
"#كسمك_ياسيسي وكسم اللي حاميك كسم كيانك على جنابك واللي جابك كسم انتصار وكسم الحمار كسم اعلامك على معرصينك
كسم هاله وكسم العاصمه
#كسميات",1
‏﴿وَأُفَوِّضُ أَمْرِي إِلَى اللَّهِ ۚ﴾,0
متخليش عرص بياخد ١٦٦ الف في اليوم يقولك اصبر علي الجوع,1
"تفسير القرآن 
تفسير لكلام الله
= الله معرفش يوصل كلامه و يفهم الناس رسالتة
فشل زريع... يعني غير انه استخدم نفس الاسلوب لتلات مرات و انتظر نتيجه مختلفه و دا عيبه و كارثه في حق اله و دي غلطه يغلطها بشري متخلف مش إله كلي الحكمه و المعرفه و البتنجان
كمان في المره الاخيره معرفش يوصل كلامه و سايب البشر هيبدوا و يفسروا ولا الف تفسير و يقولك اجتهاد و كلام فاضي و آيات بينات ماهو واضح انها بينات لدرجه ان في مئات الكلمات الغير مفهومه.... فين الاعجاز في كتاب لا يستطيع فهمه كل البشر كنت اقولك اعجاز لو الناس كلها بمجرد ما تشوفه تفهمه مش الناس لما تشوفه و هو يدعي انه معجز يعني مخرس يقموا ينتقدوه... كدا ياحبيبي اتكسر الاعجاز البالي",1
"‏هذا الفلم الرائع تابعته امس والله ياهو رهيب مستغرب سنه انتاجه ٢٠٠١ وتوني اطيح عليه .. عشاق السجون لا يفوتكم 
اسمه",0
‏انتشار كثيف للجيش في كل مداخل العاصمة الخرطوم,0
"يحارُ الوصفُ في إنصافِ قلبٍ 
لهُ حبّ بعمقِ الروحِ خافي 
فكل الناسِ في كفّ جميعًا
و حسبُ الاختِ منزلةُ الشّغافِ💛❤️‍🩹",0
اعترف انني اكره السود واحتقرهم ولكن كانت عندي فضيحه جنسيه مع كونداليزا رايس فخشيت منها وعينتها وزيره للخارجيه,1
"رئيس الوزراء: إرجاء أي زيادات في الكهرباء لمدة 6 أشهر  تنفيذا لتوجيهات الرئيس
",0
فريق متخلف,1
"صباح يعزف لحن المودة
مع صوت البلابل والكناري
يرسل للاحبة رسائل الشوق
مبتلة بندى الشوق لاحلى الذكريات",0
